emergency_id,baseline_route_distance,baseline_route_eta,uk_route_distance,uk_route_eta,traffic_conditions,selected_route
REQ00381,1.2,4,1.2,4,MODERATE,ROUTE-PRIMARY
REQ00382,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00383,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00384,0.8,3,0.8,3,NORMAL,ROUTE-PRIMARY
REQ00385,5.4,11,5.4,11,NORMAL,ROUTE-PRIMARY
REQ00386,1.8,6,1.8,6,MODERATE,ROUTE-PRIMARY
REQ00387,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00388,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00389,2.2,7,2.2,7,MODERATE,ROUTE-PRIMARY
REQ00390,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00391,3.4,12,3.4,12,NORMAL,ROUTE-PRIMARY
REQ00392,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00393,2.4,5,2.4,5,MODERATE,ROUTE-PRIMARY
REQ00394,2.4,7,2.4,7,HEAVY,ROUTE-PRIMARY
REQ00395,1.2,3,1.2,3,MODERATE,ROUTE-PRIMARY
REQ00396,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00397,3.9,11,3.9,11,NORMAL,ROUTE-PRIMARY
REQ00398,3.7,9,3.7,9,NORMAL,ROUTE-PRIMARY
REQ00399,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00400,2.9,7,2.9,7,HEAVY,ROUTE-PRIMARY
REQ00401,0.8,2,0.8,2,MODERATE,ROUTE-PRIMARY
REQ00402,1.7,5,1.7,5,NORMAL,ROUTE-PRIMARY
REQ00403,2,7,2,7,HEAVY,ROUTE-PRIMARY
REQ00404,1.2,3,1.2,3,NORMAL,ROUTE-PRIMARY
REQ00405,0.9,3,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00406,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00407,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00408,2.7,9,2.7,9,NORMAL,ROUTE-PRIMARY
REQ00409,4,10,4,10,NORMAL,ROUTE-PRIMARY
REQ00410,2.4,6,2.4,6,NORMAL,ROUTE-PRIMARY
REQ00411,0.5,2,0.5,1,NORMAL,ROUTE-PRIMARY
REQ00412,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00413,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00414,3.9,12,3.9,12,NORMAL,ROUTE-PRIMARY
REQ00415,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00416,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00417,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00418,1.3,3,1.3,3,HEAVY,ROUTE-PRIMARY
REQ00419,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00420,2.5,9,2.5,9,NORMAL,ROUTE-PRIMARY
REQ00421,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00422,2.1,8,2.1,7,NORMAL,ROUTE-PRIMARY
REQ00423,3.3,11,3.6,10,NORMAL,ROUTE-PRIMARY
REQ00424,2.7,8,2.7,8,NORMAL,ROUTE-PRIMARY
REQ00425,0.6,2,0.6,1,MODERATE,ROUTE-PRIMARY
REQ00426,2.2,7,2.2,7,NORMAL,ROUTE-PRIMARY
REQ00427,1.5,5,1.5,5,NORMAL,ROUTE-PRIMARY
REQ00428,1.1,3,1.1,3,MODERATE,ROUTE-PRIMARY
REQ00429,2.9,6,2.9,6,MODERATE,ROUTE-PRIMARY
REQ00430,2.5,6,2.5,6,HEAVY,ROUTE-PRIMARY
REQ00431,1.8,7,1.8,7,NORMAL,ROUTE-PRIMARY
REQ00432,8.1,13,8.1,13,NORMAL,ROUTE-PRIMARY
REQ00433,1.6,4,1.6,4,MODERATE,ROUTE-PRIMARY
REQ00434,3.7,9,3.7,9,NORMAL,ROUTE-PRIMARY
REQ00435,1.8,5,1.8,5,NORMAL,ROUTE-PRIMARY
REQ00436,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00437,5.9,12,5.9,12,MODERATE,ROUTE-PRIMARY
REQ00438,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00439,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00440,0.8,3,0.8,3,NORMAL,ROUTE-PRIMARY
REQ00441,1.3,3,1.3,3,NORMAL,ROUTE-PRIMARY
REQ00442,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00443,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00444,2.9,8,2.9,8,NORMAL,ROUTE-PRIMARY
REQ00445,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00446,0.8,3,0.8,3,MODERATE,ROUTE-PRIMARY
REQ00447,2.2,5,2.2,5,MODERATE,ROUTE-PRIMARY
REQ00448,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00449,2.5,9,2.5,9,NORMAL,ROUTE-PRIMARY
REQ00450,2,7,2,7,NORMAL,ROUTE-PRIMARY
REQ00451,2.7,8,2.7,8,NORMAL,ROUTE-PRIMARY
REQ00452,1.3,4,1.3,4,MODERATE,ROUTE-PRIMARY
REQ00453,2.2,8,2.2,8,MODERATE,ROUTE-PRIMARY
REQ00454,1.9,5,1.9,4,NORMAL,ROUTE-PRIMARY
REQ00455,2.4,7,2.4,7,NORMAL,ROUTE-PRIMARY
REQ00456,4.3,8,4.3,8,NORMAL,ROUTE-PRIMARY
REQ00457,1.9,7,1.9,7,MODERATE,ROUTE-PRIMARY
REQ00458,0.8,3,0.8,3,NORMAL,ROUTE-PRIMARY
REQ00459,1.8,4,1.8,4,MODERATE,ROUTE-PRIMARY
REQ00460,2,5,2,5,HEAVY,ROUTE-PRIMARY
REQ00461,0.8,2,0.8,2,MODERATE,ROUTE-PRIMARY
REQ00462,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00463,2.7,7,2.7,7,HEAVY,ROUTE-PRIMARY
REQ00464,1.8,5,1.8,5,MODERATE,ROUTE-PRIMARY
REQ00465,2.2,7,2.2,7,MODERATE,ROUTE-PRIMARY
REQ00466,2.3,7,2.3,7,HEAVY,ROUTE-PRIMARY
REQ00467,3.6,10,3.6,10,NORMAL,ROUTE-PRIMARY
REQ00468,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00469,15,25,15,25,NORMAL,ROUTE-PRIMARY
REQ00470,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00471,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00472,2.4,9,2.4,9,NORMAL,ROUTE-PRIMARY
REQ00473,0.8,3,0.8,2,NORMAL,ROUTE-PRIMARY
REQ00474,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00475,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00476,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00477,0.9,4,0.9,4,MODERATE,ROUTE-PRIMARY
REQ00478,1.4,4,1.4,4,HEAVY,ROUTE-PRIMARY
REQ00479,1.8,5,1.8,5,NORMAL,ROUTE-PRIMARY
REQ00480,1.8,7,1.8,7,NORMAL,ROUTE-PRIMARY
REQ00481,2.9,7,2.9,7,NORMAL,ROUTE-PRIMARY
REQ00482,1.2,5,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00483,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00484,1.1,4,1.1,4,HEAVY,ROUTE-PRIMARY
REQ00485,0.9,3,0.9,2,NORMAL,ROUTE-PRIMARY
REQ00486,2.7,8,2.7,8,NORMAL,ROUTE-PRIMARY
REQ00487,2.3,7,2.3,7,HEAVY,ROUTE-PRIMARY
REQ00488,2.8,6,2.8,6,NORMAL,ROUTE-PRIMARY
REQ00489,2.3,6,2.3,5,MODERATE,ROUTE-PRIMARY
REQ00490,2.7,6,2.7,6,NORMAL,ROUTE-PRIMARY
REQ00491,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00492,1.2,5,1.2,5,NORMAL,ROUTE-PRIMARY
REQ00493,1.5,4,1.5,4,NORMAL,ROUTE-PRIMARY
REQ00494,3.1,7,3.1,6,MODERATE,ROUTE-PRIMARY
REQ00495,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00496,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00497,1.6,4,1.6,4,MODERATE,ROUTE-PRIMARY
REQ00498,1.4,4,1.4,4,MODERATE,ROUTE-PRIMARY
REQ00499,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00500,2.8,10,2.8,10,NORMAL,ROUTE-PRIMARY
REQ00501,1,3,1,3,MODERATE,ROUTE-PRIMARY
REQ00502,1.8,5,1.8,5,HEAVY,ROUTE-PRIMARY
REQ00503,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00504,2.7,7,2.7,7,NORMAL,ROUTE-PRIMARY
REQ00505,2.7,7,2.7,7,NORMAL,ROUTE-PRIMARY
REQ00506,2.4,8,2.4,8,MODERATE,ROUTE-PRIMARY
REQ00507,1.8,7,1.8,7,MODERATE,ROUTE-PRIMARY
REQ00508,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00509,2.7,6,2.7,6,NORMAL,ROUTE-PRIMARY
REQ00510,3.1,11,3.1,11,NORMAL,ROUTE-PRIMARY
REQ00511,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00512,3.2,10,3.2,10,MODERATE,ROUTE-PRIMARY
REQ00513,13.9,23,13.9,23,MODERATE,ROUTE-PRIMARY
REQ00514,1.4,5,1.4,5,HEAVY,ROUTE-PRIMARY
REQ00515,0.6,2,0.6,2,MODERATE,ROUTE-PRIMARY
REQ00516,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00517,2.2,8,2.2,7,NORMAL,ROUTE-PRIMARY
REQ00518,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00519,3,8,3,8,MODERATE,ROUTE-PRIMARY
REQ00520,1.1,4,1.1,4,HEAVY,ROUTE-PRIMARY
REQ00521,2.7,10,2.7,9,NORMAL,ROUTE-PRIMARY
REQ00522,3.1,7,3.1,7,MODERATE,ROUTE-PRIMARY
REQ00523,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00524,2.3,8,2.3,8,NORMAL,ROUTE-PRIMARY
REQ00525,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00526,1.6,6,1.6,6,NORMAL,ROUTE-PRIMARY
REQ00527,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00528,0.4,2,0.4,1,MODERATE,ROUTE-PRIMARY
REQ00529,2.6,8,2.6,8,HEAVY,ROUTE-PRIMARY
REQ00530,3.1,9,3.1,9,NORMAL,ROUTE-PRIMARY
REQ00531,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00532,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00533,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00534,0.8,3,0.8,3,MODERATE,ROUTE-PRIMARY
REQ00535,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00536,1.5,4,1.5,4,NORMAL,ROUTE-PRIMARY
REQ00537,6.2,18,6.2,18,NORMAL,ROUTE-PRIMARY
REQ00538,2.5,6,2.5,6,HEAVY,ROUTE-PRIMARY
REQ00539,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00540,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00541,1.1,3,1.1,3,MODERATE,ROUTE-PRIMARY
REQ00542,3.6,9,3.6,8,NORMAL,ROUTE-PRIMARY
REQ00543,2.6,8,2.6,8,NORMAL,ROUTE-PRIMARY
REQ00544,1.6,4,1.6,4,NORMAL,ROUTE-PRIMARY
REQ00545,1.5,5,1.5,5,MODERATE,ROUTE-PRIMARY
REQ00546,1.4,4,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00547,1.1,3,1.1,3,HEAVY,ROUTE-PRIMARY
REQ00548,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00549,0.5,2,0.5,2,MODERATE,ROUTE-PRIMARY
REQ00550,1.9,6,1.9,6,HEAVY,ROUTE-PRIMARY
REQ00551,1.4,4,1.4,4,MODERATE,ROUTE-PRIMARY
REQ00552,3.6,11,3.6,11,NORMAL,ROUTE-PRIMARY
REQ00553,2.6,6,2.6,6,NORMAL,ROUTE-PRIMARY
REQ00554,3,10,3,10,MODERATE,ROUTE-PRIMARY
REQ00555,2.3,7,2.3,7,MODERATE,ROUTE-PRIMARY
REQ00556,2,5,2,5,NORMAL,ROUTE-PRIMARY
REQ00557,0.3,2,0.3,1,MODERATE,ROUTE-PRIMARY
REQ00558,1.5,4,1.5,4,MODERATE,ROUTE-PRIMARY
REQ00559,2.2,6,2.2,6,NORMAL,ROUTE-PRIMARY
REQ00560,2.3,8,2.3,8,MODERATE,ROUTE-PRIMARY
REQ00561,2.6,9,2.6,9,NORMAL,ROUTE-PRIMARY
REQ00562,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00563,2.1,6,2.1,6,MODERATE,ROUTE-PRIMARY
REQ00564,1.6,3,1.6,3,NORMAL,ROUTE-PRIMARY
REQ00565,1.7,6,1.7,6,NORMAL,ROUTE-PRIMARY
REQ00566,2.5,7,2.5,6,NORMAL,ROUTE-PRIMARY
REQ00567,2.9,7,2.9,7,NORMAL,ROUTE-PRIMARY
REQ00568,2.3,6,2.3,6,HEAVY,ROUTE-PRIMARY
REQ00569,0.5,2,0.5,1,NORMAL,ROUTE-PRIMARY
REQ00570,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00571,0.7,2,0.7,2,HEAVY,ROUTE-PRIMARY
REQ00572,3.6,12,3.6,12,NORMAL,ROUTE-PRIMARY
REQ00573,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00574,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00575,2.3,8,2.3,8,MODERATE,ROUTE-PRIMARY
REQ00576,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00577,5.8,12,5.8,12,NORMAL,ROUTE-PRIMARY
REQ00578,0.7,2,0.7,2,MODERATE,ROUTE-PRIMARY
REQ00579,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00580,2.3,8,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00581,0.2,2,0.2,1,MODERATE,ROUTE-PRIMARY
REQ00582,3.7,11,3.7,10,NORMAL,ROUTE-PRIMARY
REQ00583,2.8,6,2.8,6,NORMAL,ROUTE-PRIMARY
REQ00584,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00585,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00586,1,3,1,3,HEAVY,ROUTE-PRIMARY
REQ00587,3.7,11,3.7,11,MODERATE,ROUTE-PRIMARY
REQ00588,4.7,10,4.7,10,MODERATE,ROUTE-PRIMARY
REQ00589,3.3,9,3.3,9,NORMAL,ROUTE-PRIMARY
REQ00590,1.9,5,1.9,5,NORMAL,ROUTE-PRIMARY
REQ00591,0.5,2,0.5,2,NORMAL,ROUTE-PRIMARY
REQ00592,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00593,0.6,2,0.6,2,MODERATE,ROUTE-PRIMARY
REQ00594,2.3,7,2.3,7,MODERATE,ROUTE-PRIMARY
REQ00595,1.7,5,1.7,5,HEAVY,ROUTE-PRIMARY
REQ00596,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00597,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00598,2.3,9,2.3,9,NORMAL,ROUTE-PRIMARY
REQ00599,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00600,1.7,5,1.7,5,NORMAL,ROUTE-PRIMARY
REQ00601,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00602,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00603,6,13,6,13,MODERATE,ROUTE-PRIMARY
REQ00604,2.4,6,2.4,6,NORMAL,ROUTE-PRIMARY
REQ00605,1.5,5,1.5,5,MODERATE,ROUTE-PRIMARY
REQ00606,2.1,5,2.1,5,MODERATE,ROUTE-PRIMARY
REQ00607,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00608,2.1,5,2.1,5,NORMAL,ROUTE-PRIMARY
REQ00609,1.8,6,1.8,6,MODERATE,ROUTE-PRIMARY
REQ00610,1.1,3,1.1,3,HEAVY,ROUTE-PRIMARY
REQ00611,3.2,10,3.2,9,MODERATE,ROUTE-PRIMARY
REQ00612,2,7,2,7,MODERATE,ROUTE-PRIMARY
REQ00613,5.1,9,5.1,9,MODERATE,ROUTE-PRIMARY
REQ00614,1.7,4,1.7,4,NORMAL,ROUTE-PRIMARY
REQ00615,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00616,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00617,1.4,3,1.4,3,MODERATE,ROUTE-PRIMARY
REQ00618,1.4,5,1.4,5,MODERATE,ROUTE-PRIMARY
REQ00619,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00620,2.8,8,2.8,8,NORMAL,ROUTE-PRIMARY
REQ00621,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00622,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00623,2.2,4,2.2,4,NORMAL,ROUTE-PRIMARY
REQ00624,0.9,2,0.9,2,MODERATE,ROUTE-PRIMARY
REQ00625,1.8,5,1.8,5,HEAVY,ROUTE-PRIMARY
REQ00626,2.4,8,2.4,8,NORMAL,ROUTE-PRIMARY
REQ00627,1,2,1,2,NORMAL,ROUTE-PRIMARY
REQ00628,2,6,2,6,NORMAL,ROUTE-PRIMARY
REQ00629,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00630,0.9,3,0.9,3,NORMAL,ROUTE-PRIMARY
REQ00631,3.2,8,3.2,8,HEAVY,ROUTE-PRIMARY
REQ00632,3.5,6,3.5,6,NORMAL,ROUTE-PRIMARY
REQ00633,2.7,9,2.7,9,MODERATE,ROUTE-PRIMARY
REQ00634,3.5,9,3.5,9,HEAVY,ROUTE-PRIMARY
REQ00635,1,2,1,2,NORMAL,ROUTE-PRIMARY
REQ00636,3.2,10,3.2,10,NORMAL,ROUTE-PRIMARY
REQ00637,2.7,7,2.7,7,HEAVY,ROUTE-PRIMARY
REQ00638,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00639,1.2,4,1.2,3,NORMAL,ROUTE-PRIMARY
REQ00640,1.2,4,1.2,4,NORMAL,ROUTE-PRIMARY
REQ00641,0.9,3,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00642,1,4,1,4,MODERATE,ROUTE-PRIMARY
REQ00643,3.1,8,3.1,8,HEAVY,ROUTE-PRIMARY
REQ00644,2.3,7,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00645,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00646,4.5,12,4.5,12,NORMAL,ROUTE-PRIMARY
REQ00647,2.5,6,2.5,6,NORMAL,ROUTE-PRIMARY
REQ00648,4.1,11,4.1,11,NORMAL,ROUTE-PRIMARY
REQ00649,2.3,7,2.3,7,HEAVY,ROUTE-PRIMARY
REQ00650,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00651,1.9,6,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00652,2.8,8,2.8,7,NORMAL,ROUTE-PRIMARY
REQ00653,0.6,2,0.6,1,NORMAL,ROUTE-PRIMARY
REQ00654,2.9,7,2.9,7,NORMAL,ROUTE-PRIMARY
REQ00655,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00656,1.6,6,1.6,6,NORMAL,ROUTE-PRIMARY
REQ00657,1.4,3,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00658,4.1,12,4.1,12,NORMAL,ROUTE-PRIMARY
REQ00659,1.2,4,1.2,3,MODERATE,ROUTE-PRIMARY
REQ00660,2.6,10,2.6,10,MODERATE,ROUTE-PRIMARY
REQ00661,3.7,11,3.7,11,NORMAL,ROUTE-PRIMARY
REQ00662,0.5,2,0.5,1,NORMAL,ROUTE-PRIMARY
REQ00663,1.3,5,1.3,5,MODERATE,ROUTE-PRIMARY
REQ00664,2.2,6,2.2,6,HEAVY,ROUTE-PRIMARY
REQ00665,1.5,6,1.5,6,NORMAL,ROUTE-PRIMARY
REQ00666,7.8,12,7.8,12,NORMAL,ROUTE-PRIMARY
REQ00667,2.7,7,2.7,7,NORMAL,ROUTE-PRIMARY
REQ00668,2.3,7,2.3,7,MODERATE,ROUTE-PRIMARY
REQ00669,1.5,5,1.5,5,MODERATE,ROUTE-PRIMARY
REQ00670,1.5,5,1.5,5,NORMAL,ROUTE-PRIMARY
REQ00671,3.9,11,3.9,11,NORMAL,ROUTE-PRIMARY
REQ00672,0.7,2,0.7,1,NORMAL,ROUTE-PRIMARY
REQ00673,1.5,5,1.5,5,MODERATE,ROUTE-PRIMARY
REQ00674,1.3,3,1.3,3,MODERATE,ROUTE-PRIMARY
REQ00675,1.6,5,1.6,5,MODERATE,ROUTE-PRIMARY
REQ00676,2.5,7,2.5,6,HEAVY,ROUTE-PRIMARY
REQ00677,2.5,6,2.5,6,NORMAL,ROUTE-PRIMARY
REQ00678,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00679,3.9,11,3.9,11,NORMAL,ROUTE-PRIMARY
REQ00680,1.3,5,1.3,5,MODERATE,ROUTE-PRIMARY
REQ00681,0.9,3,0.9,3,MODERATE,ROUTE-PRIMARY
REQ00682,1.6,4,1.6,4,HEAVY,ROUTE-PRIMARY
REQ00683,2.4,6,2.4,6,MODERATE,ROUTE-PRIMARY
REQ00684,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00685,3.2,11,3.2,10,MODERATE,ROUTE-PRIMARY
REQ00686,1.9,7,1.9,6,NORMAL,ROUTE-PRIMARY
REQ00687,3.5,9,3.5,9,NORMAL,ROUTE-PRIMARY
REQ00688,1.2,3,1.2,3,NORMAL,ROUTE-PRIMARY
REQ00689,2.4,7,2.4,7,MODERATE,ROUTE-PRIMARY
REQ00690,1.5,4,1.5,4,NORMAL,ROUTE-PRIMARY
REQ00691,1.9,7,1.9,7,NORMAL,ROUTE-PRIMARY
REQ00692,3.4,7,3.4,7,NORMAL,ROUTE-PRIMARY
REQ00693,1.6,5,1.6,5,NORMAL,ROUTE-PRIMARY
REQ00694,0.2,2,0.2,1,HEAVY,ROUTE-PRIMARY
REQ00695,5.8,13,5.8,13,NORMAL,ROUTE-PRIMARY
REQ00696,1,2,1,2,NORMAL,ROUTE-PRIMARY
REQ00697,2.2,5,2.2,5,NORMAL,ROUTE-PRIMARY
REQ00698,2.2,4,2.2,4,NORMAL,ROUTE-PRIMARY
REQ00699,1.4,4,1.4,4,NORMAL,ROUTE-PRIMARY
REQ00700,2.4,7,2.4,7,NORMAL,ROUTE-PRIMARY
REQ00701,1.7,6,1.7,6,MODERATE,ROUTE-PRIMARY
REQ00702,1.9,5,1.9,5,MODERATE,ROUTE-PRIMARY
REQ00703,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00704,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00705,0.9,2,0.9,2,NORMAL,ROUTE-PRIMARY
REQ00706,2.8,9,2.8,9,NORMAL,ROUTE-PRIMARY
REQ00707,3.8,10,3.8,10,NORMAL,ROUTE-PRIMARY
REQ00708,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00709,1.1,4,1.1,4,NORMAL,ROUTE-PRIMARY
REQ00710,2.7,10,2.7,10,MODERATE,ROUTE-PRIMARY
REQ00711,1,4,1,4,NORMAL,ROUTE-PRIMARY
REQ00712,3.7,10,3.7,10,HEAVY,ROUTE-PRIMARY
REQ00713,2.7,8,2.7,8,MODERATE,ROUTE-PRIMARY
REQ00714,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00715,1.3,4,1.3,4,NORMAL,ROUTE-PRIMARY
REQ00716,2.1,7,2.1,7,NORMAL,ROUTE-PRIMARY
REQ00717,2.2,6,2.2,6,NORMAL,ROUTE-PRIMARY
REQ00718,7.1,12,7.1,12,HEAVY,ROUTE-PRIMARY
REQ00719,2.2,7,2.2,7,NORMAL,ROUTE-PRIMARY
REQ00720,1.4,5,1.4,5,MODERATE,ROUTE-PRIMARY
REQ00721,1.1,3,1.1,3,NORMAL,ROUTE-PRIMARY
REQ00722,1.4,5,1.4,5,NORMAL,ROUTE-PRIMARY
REQ00723,1.8,6,1.8,6,NORMAL,ROUTE-PRIMARY
REQ00724,0.4,2,0.4,1,NORMAL,ROUTE-PRIMARY
REQ00725,0.5,2,0.5,2,MODERATE,ROUTE-PRIMARY
REQ00726,4.6,14,4.6,14,NORMAL,ROUTE-PRIMARY
REQ00727,2.9,8,2.9,8,NORMAL,ROUTE-PRIMARY
REQ00728,2.3,7,2.3,7,NORMAL,ROUTE-PRIMARY
REQ00729,2.5,7,2.5,7,NORMAL,ROUTE-PRIMARY
REQ00730,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00731,2.1,7,2.1,7,NORMAL,ROUTE-PRIMARY
REQ00732,1.4,3,1.4,3,MODERATE,ROUTE-PRIMARY
REQ00733,1.5,6,1.5,6,NORMAL,ROUTE-PRIMARY
REQ00734,2.3,9,2.3,9,MODERATE,ROUTE-PRIMARY
REQ00735,1.3,3,1.3,3,MODERATE,ROUTE-PRIMARY
REQ00736,2.1,8,2.1,8,HEAVY,ROUTE-PRIMARY
REQ00737,0.5,2,0.5,2,MODERATE,ROUTE-PRIMARY
REQ00738,3.5,10,3.5,10,NORMAL,ROUTE-PRIMARY
REQ00739,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00740,2.3,5,2.3,5,MODERATE,ROUTE-PRIMARY
REQ00741,0.7,2,0.7,2,NORMAL,ROUTE-PRIMARY
REQ00742,3.7,10,3.7,10,HEAVY,ROUTE-PRIMARY
REQ00743,3.7,7,3.7,7,NORMAL,ROUTE-PRIMARY
REQ00744,1.2,3,1.2,3,MODERATE,ROUTE-PRIMARY
REQ00745,1.8,5,1.8,5,NORMAL,ROUTE-PRIMARY
REQ00746,2.2,7,2.2,7,MODERATE,ROUTE-PRIMARY
REQ00747,0.3,2,0.3,1,NORMAL,ROUTE-PRIMARY
REQ00748,2.8,9,2.8,8,NORMAL,ROUTE-PRIMARY
REQ00749,1.2,4,1.2,4,MODERATE,ROUTE-PRIMARY
REQ00750,1,3,1,3,NORMAL,ROUTE-PRIMARY
REQ00751,0.6,2,0.6,2,NORMAL,ROUTE-PRIMARY
REQ00752,1.7,5,1.7,5,NORMAL,ROUTE-PRIMARY
REQ00753,1.4,3,1.4,3,NORMAL,ROUTE-PRIMARY
REQ00754,2.8,7,2.8,7,NORMAL,ROUTE-PRIMARY
REQ00755,3,8,3,8,NORMAL,ROUTE-PRIMARY
REQ00756,2.1,6,2.1,6,NORMAL,ROUTE-PRIMARY
REQ00757,0.4,2,0.4,1,MODERATE,ROUTE-PRIMARY
REQ00758,3.2,8,3.2,8,NORMAL,ROUTE-PRIMARY
REQ00759,0.6,2,0.6,2,MODERATE,ROUTE-PRIMARY
REQ00760,1.4,4,1.4,4,HEAVY,ROUTE-PRIMARY
