emergency_id,baseline_ambulance_id,baseline_eta,baseline_distance,uk_ambulance_id,uk_eta,uk_distance,uk_score,traffic
REQ00349,AMB0072,4,1.29,AMB0072,4,1.3,0.337,MODERATE
REQ00350,AMB0042,2,0.6,AMB0042,1,0.6,0.184,MODERATE
REQ00351,AMB0131,4,1.07,AMB0131,4,1.1,0.201,MODERATE
REQ00352,AMB0055,8,2.56,AMB0055,8,2.6,0.487,NORMAL
REQ00353,AMB0042,10,4.72,AMB0049,4,2,0.428,MODERATE
REQ00354,AMB0092,4,1.61,AMB0092,4,1.6,0.226,NORMAL
REQ00355,AMB0003,24,10.32,AMB0015,14,5.8,0.568,NORMAL
REQ00356,AMB0100,8,2.65,AMB0099,7,2.4,0.489,NORMAL
REQ00357,AMB0029,6,1.72,AMB0027,6,1.7,0.284,NORMAL
REQ00358,AMB0057,12,3.9,AMB0033,6,1.6,0.255,HEAVY
REQ00359,AMB0118,10,2.73,AMB0125,10,4.1,0.573,MODERATE
REQ00360,AMB0127,4,1.08,AMB0128,3,1,0.193,NORMAL
REQ00361,AMB0031,2,0.7,AMB0031,2,0.7,0.193,HEAVY
REQ00362,AMB0015,4,2.27,AMB0014,3,2,0.275,NORMAL
REQ00363,AMB0029,3,1.28,AMB0027,3,1.3,0.247,NORMAL
REQ00364,AMB0106,2,0.69,AMB0108,2,0.6,0.183,HEAVY
REQ00365,AMB0089,53,20.13,AMB0086,12,3.7,0.347,NORMAL
REQ00366,AMB0106,4,0.95,AMB0106,4,1,0.237,NORMAL
REQ00367,AMB0096,2,0.65,AMB0096,2,0.7,0.147,HEAVY
REQ00368,AMB0094,10,3.3,AMB0092,7,2.5,0.478,NORMAL
REQ00369,AMB0118,11,3.97,AMB0123,11,4.3,0.595,NORMAL
REQ00370,AMB0055,3,0.94,AMB0055,3,0.9,0.235,NORMAL
REQ00371,AMB0040,13,6.27,AMB0049,6,3.4,0.507,NORMAL
REQ00372,AMB0073,5,1.62,AMB0070,5,1.4,0.307,MODERATE
REQ00373,AMB0038,8,2.71,AMB0037,6,2.3,0.695,NORMAL
REQ00374,AMB0029,6,1.81,AMB0026,6,1.6,0.256,MODERATE
REQ00375,AMB0104,6,2.58,AMB0098,5,1.9,0.31,NORMAL
REQ00376,AMB0069,4,1.36,AMB0069,4,1.4,0.449,NORMAL
REQ00377,AMB0053,3,1.19,AMB0053,3,1.2,0.316,MODERATE
REQ00378,AMB0048,9,2.74,AMB0049,7,1.9,0.342,NORMAL
REQ00379,AMB0028,4,0.99,AMB0028,4,1,0.274,NORMAL
REQ00380,AMB0089,15,6.51,AMB0074,8,3.5,0.568,NORMAL
REQ00381,AMB0070,5,1.46,AMB0059,4,1.2,0.336,MODERATE
REQ00382,AMB0057,5,1.2,AMB0056,4,1.1,0.206,NORMAL
REQ00383,AMB0055,5,1.78,AMB0053,3,1.1,0.284,NORMAL
REQ00384,AMB0085,4,1.02,AMB0084,3,0.8,0.131,NORMAL
REQ00385,AMB0004,20,11.31,AMB0001,11,5.4,0.479,NORMAL
REQ00386,AMB0128,6,1.75,AMB0128,6,1.8,0.188,MODERATE
REQ00387,AMB0125,5,2.21,AMB0125,5,2.2,0.379,NORMAL
REQ00388,AMB0061,2,0.54,AMB0061,2,0.5,0.188,NORMAL
REQ00389,AMB0051,13,4.96,AMB0055,7,2.2,0.505,MODERATE
REQ00390,AMB0030,10,3.49,AMB0066,4,1.3,0.253,NORMAL
REQ00391,AMB0002,14,3.59,AMB0001,12,3.4,0.462,NORMAL
REQ00392,AMB0014,7,1.9,AMB0018,6,1.8,0.569,NORMAL
REQ00393,AMB0125,6,2.64,AMB0123,5,2.4,0.444,MODERATE
REQ00394,AMB0131,7,2.37,AMB0131,7,2.4,0.347,HEAVY
REQ00395,AMB0104,3,1.2,AMB0104,3,1.2,0.271,MODERATE
REQ00396,AMB0104,5,1.85,AMB0104,5,1.9,0.321,NORMAL
REQ00397,AMB0101,17,6.71,AMB0086,11,3.9,0.338,NORMAL
REQ00398,AMB0125,10,3.94,AMB0123,9,3.7,0.566,NORMAL
REQ00399,AMB0107,4,1.43,AMB0107,4,1.4,0.244,NORMAL
REQ00400,AMB0014,7,2.94,AMB0014,7,2.9,0.468,HEAVY
REQ00401,AMB0028,3,1.07,AMB0026,2,0.8,0.21,MODERATE
REQ00402,AMB0030,5,1.65,AMB0030,5,1.7,0.612,NORMAL
REQ00403,AMB0060,8,2.22,AMB0062,7,2,0.584,HEAVY
REQ00404,AMB0104,3,1.2,AMB0104,3,1.2,0.264,NORMAL
REQ00405,AMB0064,3,0.99,AMB0065,3,0.9,0.265,MODERATE
REQ00406,AMB0116,24,7.59,AMB0118,6,1.7,0.221,NORMAL
REQ00407,AMB0116,7,1.95,AMB0117,7,1.9,0.229,NORMAL
REQ00408,AMB0116,24,8.56,AMB0118,9,2.7,0.438,NORMAL
REQ00409,AMB0114,20,7.56,AMB0110,10,4,0.562,NORMAL
REQ00410,AMB0001,6,2.35,AMB0001,6,2.4,0.36,NORMAL
REQ00411,AMB0053,2,0.46,AMB0053,1,0.5,0.187,NORMAL
REQ00412,AMB0051,5,1.62,AMB0049,5,1.6,0.333,NORMAL
REQ00413,AMB0055,2,0.3,AMB0055,1,0.3,0.157,NORMAL
REQ00414,AMB0078,13,4.04,AMB0079,12,3.9,0.443,NORMAL
REQ00415,AMB0038,5,1.91,AMB0050,4,1.2,0.267,NORMAL
REQ00416,AMB0030,9,3.18,AMB0066,4,1.3,0.245,NORMAL
REQ00417,AMB0124,2,0.59,AMB0123,1,0.4,0.089,NORMAL
REQ00418,AMB0074,3,1.3,AMB0074,3,1.3,0.275,HEAVY
REQ00419,AMB0025,4,0.97,AMB0023,3,0.9,0.223,NORMAL
REQ00420,AMB0075,9,2.45,AMB0074,9,2.5,0.317,NORMAL
REQ00421,AMB0106,11,3.57,AMB0127,6,2,0.272,NORMAL
REQ00422,AMB0057,14,4.39,AMB0033,7,2.1,0.432,NORMAL
REQ00423,AMB0118,11,3.26,AMB0118,10,3.6,0.562,NORMAL
REQ00424,AMB0060,11,3.54,AMB0069,8,2.7,0.594,NORMAL
REQ00425,AMB0016,2,1.02,AMB0014,1,0.6,0.148,MODERATE
REQ00426,AMB0025,7,2.21,AMB0023,7,2.2,0.478,NORMAL
REQ00427,AMB0072,6,1.46,AMB0070,5,1.5,0.176,NORMAL
REQ00428,AMB0034,3,1.05,AMB0036,3,1.1,0.278,MODERATE
REQ00429,AMB0012,6,2.66,AMB0011,6,2.9,0.411,MODERATE
REQ00430,AMB0014,9,2.6,AMB0023,6,2.5,0.649,HEAVY
REQ00431,AMB0072,7,1.91,AMB0070,7,1.8,0.197,NORMAL
REQ00432,AMB0046,32,18.12,AMB0041,13,8.1,0.357,NORMAL
REQ00433,AMB0106,4,1.64,AMB0108,4,1.6,0.303,MODERATE
REQ00434,AMB0034,9,3.44,AMB0021,9,3.7,0.757,NORMAL
REQ00435,AMB0013,9,3.46,AMB0018,5,1.8,0.345,NORMAL
REQ00436,AMB0025,3,0.66,AMB0023,2,0.6,0.192,NORMAL
REQ00437,AMB0082,38,20.54,AMB0046,12,5.9,0.346,MODERATE
REQ00438,AMB0128,4,1.34,AMB0128,4,1.3,0.213,MODERATE
REQ00439,AMB0056,3,0.85,AMB0056,3,0.9,0.244,NORMAL
REQ00440,AMB0103,3,0.81,AMB0103,3,0.8,0.227,NORMAL
REQ00441,AMB0014,9,3.92,AMB0013,3,1.3,0.281,NORMAL
REQ00442,AMB0093,2,0.6,AMB0093,2,0.6,0.142,NORMAL
REQ00443,AMB0001,3,0.95,AMB0001,3,1,0.206,NORMAL
REQ00444,AMB0015,12,4.68,AMB0018,8,2.9,0.592,NORMAL
REQ00445,AMB0031,5,1.42,AMB0031,5,1.4,0.297,NORMAL
REQ00446,AMB0078,3,0.98,AMB0079,3,0.8,0.145,MODERATE
REQ00447,AMB0110,5,2.15,AMB0110,5,2.2,0.417,MODERATE
REQ00448,AMB0075,5,1.44,AMB0076,3,0.9,0.206,NORMAL
REQ00449,AMB0124,8,2.21,AMB0123,9,2.5,0.341,NORMAL
REQ00450,AMB0029,7,2.02,AMB0027,7,2,0.286,NORMAL
REQ00451,AMB0022,8,2.68,AMB0022,8,2.7,0.469,NORMAL
REQ00452,AMB0056,6,1.8,AMB0070,4,1.3,0.301,MODERATE
REQ00453,AMB0014,8,2.17,AMB0014,8,2.2,0.703,MODERATE
REQ00454,AMB0010,10,4.84,AMB0011,4,1.9,0.243,NORMAL
REQ00455,AMB0086,7,2.34,AMB0100,7,2.4,0.389,NORMAL
REQ00456,AMB0044,17,8.34,AMB0042,8,4.3,0.362,NORMAL
REQ00457,AMB0127,7,1.97,AMB0128,7,1.9,0.286,MODERATE
REQ00458,AMB0031,3,0.83,AMB0031,3,0.8,0.208,NORMAL
REQ00459,AMB0012,4,1.79,AMB0012,4,1.8,0.245,MODERATE
REQ00460,AMB0013,9,3.63,AMB0018,5,2,0.363,HEAVY
REQ00461,AMB0053,2,0.83,AMB0053,2,0.8,0.251,MODERATE
REQ00462,AMB0065,2,0.73,AMB0065,2,0.7,0.207,NORMAL
REQ00463,AMB0036,11,4.25,AMB0021,7,2.7,0.576,HEAVY
REQ00464,AMB0078,6,1.94,AMB0079,5,1.8,0.222,MODERATE
REQ00465,AMB0093,7,2.3,AMB0097,7,2.2,0.407,MODERATE
REQ00466,AMB0072,7,2.15,AMB0070,7,2.3,0.526,HEAVY
REQ00467,AMB0006,10,3.79,AMB0007,10,3.6,0.454,NORMAL
REQ00468,AMB0037,7,2.54,AMB0037,7,2.5,0.486,NORMAL
REQ00469,AMB0077,26,15.58,AMB0079,25,15,0.614,NORMAL
REQ00470,AMB0039,7,2.06,AMB0037,6,1.8,0.365,NORMAL
REQ00471,AMB0059,6,1.69,AMB0056,5,1.4,0.37,NORMAL
REQ00472,AMB0129,10,2.62,AMB0131,9,2.4,0.37,NORMAL
REQ00473,AMB0078,3,0.88,AMB0079,2,0.8,0.156,NORMAL
REQ00474,AMB0122,5,1.25,AMB0120,4,1,0.134,NORMAL
REQ00475,AMB0032,4,1.13,AMB0031,3,1,0.308,NORMAL
REQ00476,AMB0052,8,2.45,AMB0053,6,2,0.391,NORMAL
REQ00477,AMB0017,4,1.09,AMB0018,4,0.9,0.273,MODERATE
REQ00478,AMB0031,4,1.37,AMB0031,4,1.4,0.274,HEAVY
REQ00479,AMB0066,5,1.84,AMB0065,5,1.8,0.399,NORMAL
REQ00480,AMB0017,7,1.91,AMB0018,7,1.8,0.376,NORMAL
REQ00481,AMB0074,7,2.87,AMB0074,7,2.9,0.517,NORMAL
REQ00482,AMB0032,5,1.21,AMB0032,4,1.2,0.289,NORMAL
REQ00483,AMB0055,6,2.3,AMB0053,5,1.6,0.322,NORMAL
REQ00484,AMB0048,6,1.92,AMB0049,4,1.1,0.276,HEAVY
REQ00485,AMB0089,3,0.89,AMB0089,2,0.9,0.207,NORMAL
REQ00486,AMB0034,11,3.71,AMB0055,8,2.7,0.48,NORMAL
REQ00487,AMB0128,7,2.31,AMB0128,7,2.3,0.518,HEAVY
REQ00488,AMB0012,5,2.61,AMB0011,6,2.8,0.379,NORMAL
REQ00489,AMB0094,8,3.04,AMB0092,5,2.3,0.6,MODERATE
REQ00490,AMB0068,11,4.93,AMB0064,6,2.7,0.526,NORMAL
REQ00491,AMB0086,10,3.39,AMB0092,9,3.1,0.617,NORMAL
REQ00492,AMB0052,6,1.54,AMB0054,5,1.2,0.29,NORMAL
REQ00493,AMB0055,4,1.5,AMB0055,4,1.5,0.299,NORMAL
REQ00494,AMB0131,7,3.06,AMB0131,6,3.1,0.361,MODERATE
REQ00495,AMB0038,4,1.56,AMB0037,3,1.1,0.279,NORMAL
REQ00496,AMB0040,11,3.4,AMB0037,9,3.1,0.764,NORMAL
REQ00497,AMB0089,4,1.55,AMB0089,4,1.6,0.261,MODERATE
REQ00498,AMB0034,4,1.41,AMB0036,4,1.4,0.324,MODERATE
REQ00499,AMB0090,12,5.86,AMB0088,1,0.3,0.135,NORMAL
REQ00500,AMB0089,10,2.64,AMB0088,10,2.8,0.312,NORMAL
REQ00501,AMB0055,3,0.99,AMB0055,3,1,0.237,MODERATE
REQ00502,AMB0043,5,1.79,AMB0043,5,1.8,0.249,HEAVY
REQ00503,AMB0038,2,0.44,AMB0038,1,0.4,0.147,NORMAL
REQ00504,AMB0110,7,2.69,AMB0110,7,2.7,0.471,NORMAL
REQ00505,AMB0069,7,2.45,AMB0091,7,2.7,0.653,NORMAL
REQ00506,AMB0103,8,2.42,AMB0103,8,2.4,0.498,MODERATE
REQ00507,AMB0033,7,1.76,AMB0033,7,1.8,0.255,MODERATE
REQ00508,AMB0098,7,2.29,AMB0099,6,2.1,0.472,NORMAL
REQ00509,AMB0008,7,2.89,AMB0009,6,2.7,0.389,NORMAL
REQ00510,AMB0103,11,3.09,AMB0103,11,3.1,0.406,NORMAL
REQ00511,AMB0094,6,2.38,AMB0091,5,2,0.284,NORMAL
REQ00512,AMB0037,10,3.17,AMB0037,10,3.2,0.539,MODERATE
REQ00513,AMB0080,23,14.21,AMB0079,23,13.9,0.597,MODERATE
REQ00514,AMB0085,6,1.55,AMB0084,5,1.4,0.158,HEAVY
REQ00515,AMB0050,2,0.58,AMB0050,2,0.6,0.195,MODERATE
REQ00516,AMB0011,3,1.1,AMB0012,3,0.9,0.204,NORMAL
REQ00517,AMB0025,8,2.18,AMB0023,7,2.2,0.325,NORMAL
REQ00518,AMB0098,6,1.9,AMB0098,6,1.9,0.297,NORMAL
REQ00519,AMB0114,9,3.12,AMB0113,8,3,0.523,MODERATE
REQ00520,AMB0126,5,1.37,AMB0106,4,1.1,0.263,HEAVY
REQ00521,AMB0118,10,2.69,AMB0118,9,2.7,0.439,NORMAL
REQ00522,AMB0037,9,3.14,AMB0021,7,3.1,0.701,MODERATE
REQ00523,AMB0053,6,1.94,AMB0053,6,1.9,0.408,NORMAL
REQ00524,AMB0119,9,2.36,AMB0118,8,2.3,0.384,NORMAL
REQ00525,AMB0073,5,1.89,AMB0072,5,1.6,0.368,NORMAL
REQ00526,AMB0121,7,1.84,AMB0120,6,1.6,0.114,NORMAL
REQ00527,AMB0030,4,1.18,AMB0031,4,1.1,0.242,NORMAL
REQ00528,AMB0057,2,0.41,AMB0057,1,0.4,0.174,MODERATE
REQ00529,AMB0057,19,6.67,AMB0055,8,2.6,0.481,HEAVY
REQ00530,AMB0016,20,6.12,AMB0015,9,3.1,0.5,NORMAL
REQ00531,AMB0019,4,1.11,AMB0019,4,1.1,0.311,NORMAL
REQ00532,AMB0115,6,1.96,AMB0115,6,2,0.201,NORMAL
REQ00533,AMB0060,6,1.76,AMB0069,5,1.6,0.435,NORMAL
REQ00534,AMB0063,3,0.91,AMB0065,3,0.8,0.216,MODERATE
REQ00535,AMB0060,7,1.98,AMB0062,6,1.8,0.419,NORMAL
REQ00536,AMB0107,4,1.6,AMB0108,4,1.5,0.306,NORMAL
REQ00537,AMB0125,18,6.15,AMB0125,18,6.2,0.499,NORMAL
REQ00538,AMB0015,13,5.14,AMB0003,6,2.5,0.48,HEAVY
REQ00539,AMB0066,4,1.35,AMB0065,4,1.3,0.301,NORMAL
REQ00540,AMB0055,6,1.99,AMB0055,6,2,0.282,NORMAL
REQ00541,AMB0055,3,1.06,AMB0055,3,1.1,0.244,MODERATE
REQ00542,AMB0040,9,3.54,AMB0043,8,3.6,0.682,NORMAL
REQ00543,AMB0095,22,8.49,AMB0097,8,2.6,0.428,NORMAL
REQ00544,AMB0106,5,1.68,AMB0108,4,1.6,0.316,NORMAL
REQ00545,AMB0057,5,1.45,AMB0057,5,1.5,0.349,MODERATE
REQ00546,AMB0030,7,2.45,AMB0066,3,1.4,0.346,NORMAL
REQ00547,AMB0002,5,1.33,AMB0001,3,1.1,0.223,HEAVY
REQ00548,AMB0077,6,2.5,AMB0079,5,2.2,0.426,NORMAL
REQ00549,AMB0049,2,0.48,AMB0049,2,0.5,0.199,MODERATE
REQ00550,AMB0081,6,1.91,AMB0081,6,1.9,0.229,HEAVY
REQ00551,AMB0037,4,1.38,AMB0037,4,1.4,0.263,MODERATE
REQ00552,AMB0079,11,3.62,AMB0079,11,3.6,0.434,NORMAL
REQ00553,AMB0037,10,3.67,AMB0021,6,2.6,0.574,NORMAL
REQ00554,AMB0127,10,2.97,AMB0127,10,3,0.491,MODERATE
REQ00555,AMB0025,8,2.3,AMB0023,7,2.3,0.53,MODERATE
REQ00556,AMB0001,5,1.98,AMB0001,5,2,0.222,NORMAL
REQ00557,AMB0066,2,0.31,AMB0066,1,0.3,0.118,MODERATE
REQ00558,AMB0098,5,1.74,AMB0099,4,1.5,0.29,MODERATE
REQ00559,AMB0039,8,2.27,AMB0036,6,2.2,0.477,NORMAL
REQ00560,AMB0124,9,2.44,AMB0123,8,2.3,0.337,MODERATE
REQ00561,AMB0002,11,2.85,AMB0001,9,2.6,0.419,NORMAL
REQ00562,AMB0049,3,1.13,AMB0049,3,1.1,0.292,NORMAL
REQ00563,AMB0100,6,2.08,AMB0100,6,2.1,0.378,MODERATE
REQ00564,AMB0001,3,1.63,AMB0001,3,1.6,0.24,NORMAL
REQ00565,AMB0026,6,1.66,AMB0026,6,1.7,0.458,NORMAL
REQ00566,AMB0087,6,2.35,AMB0084,6,2.5,0.381,NORMAL
REQ00567,AMB0037,10,3.65,AMB0021,7,2.9,0.622,NORMAL
REQ00568,AMB0039,8,2.35,AMB0036,6,2.3,0.51,HEAVY
REQ00569,AMB0031,2,0.45,AMB0031,1,0.5,0.171,NORMAL
REQ00570,AMB0073,8,2.62,AMB0070,7,2.5,0.553,NORMAL
REQ00571,AMB0042,2,0.65,AMB0042,2,0.7,0.198,HEAVY
REQ00572,AMB0037,12,3.55,AMB0037,12,3.6,0.577,NORMAL
REQ00573,AMB0128,6,2.06,AMB0128,6,2.1,0.486,NORMAL
REQ00574,AMB0012,6,1.75,AMB0012,6,1.8,0.292,NORMAL
REQ00575,AMB0075,9,2.3,AMB0074,8,2.3,0.309,MODERATE
REQ00576,AMB0097,3,1.04,AMB0097,3,1,0.186,NORMAL
REQ00577,AMB0081,12,5.34,AMB0083,12,5.8,0.285,NORMAL
REQ00578,AMB0065,2,0.68,AMB0065,2,0.7,0.197,MODERATE
REQ00579,AMB0008,4,1.26,AMB0008,4,1.3,0.258,NORMAL
REQ00580,AMB0025,8,2.33,AMB0023,7,2.3,0.457,NORMAL
REQ00581,AMB0010,2,0.21,AMB0010,1,0.2,0.108,MODERATE
REQ00582,AMB0101,16,6.74,AMB0084,10,3.7,0.629,NORMAL
REQ00583,AMB0109,8,3.83,AMB0110,6,2.8,0.41,NORMAL
REQ00584,AMB0037,2,0.39,AMB0037,1,0.4,0.141,NORMAL
REQ00585,AMB0029,2,0.62,AMB0026,2,0.5,0.189,NORMAL
REQ00586,AMB0106,4,1.23,AMB0108,3,1,0.244,HEAVY
REQ00587,AMB0012,10,3.45,AMB0011,11,3.7,0.488,MODERATE
REQ00588,AMB0110,20,9.03,AMB0113,10,4.7,0.529,MODERATE
REQ00589,AMB0005,19,7.53,AMB0007,9,3.3,0.491,NORMAL
REQ00590,AMB0098,5,1.85,AMB0098,5,1.9,0.297,NORMAL
REQ00591,AMB0053,2,0.53,AMB0053,2,0.5,0.196,NORMAL
REQ00592,AMB0039,8,2.39,AMB0036,7,2.5,0.509,NORMAL
REQ00593,AMB0124,2,0.56,AMB0124,2,0.6,0.119,MODERATE
REQ00594,AMB0024,8,2.61,AMB0023,7,2.3,0.558,MODERATE
REQ00595,AMB0055,5,1.83,AMB0053,5,1.7,0.416,HEAVY
REQ00596,AMB0055,4,1.51,AMB0053,4,1.4,0.38,NORMAL
REQ00597,AMB0088,4,1.36,AMB0088,4,1.4,0.233,NORMAL
REQ00598,AMB0128,9,2.25,AMB0128,9,2.3,0.368,NORMAL
REQ00599,AMB0126,3,0.92,AMB0128,3,0.9,0.192,NORMAL
REQ00600,AMB0025,6,1.69,AMB0023,5,1.7,0.332,NORMAL
REQ00601,AMB0128,7,1.89,AMB0128,7,1.9,0.212,NORMAL
REQ00602,AMB0127,3,1.13,AMB0127,3,1.1,0.201,NORMAL
REQ00603,AMB0083,23,11.21,AMB0046,13,6,0.394,MODERATE
REQ00604,AMB0104,6,2.35,AMB0104,6,2.4,0.451,NORMAL
REQ00605,AMB0073,6,1.72,AMB0070,5,1.5,0.319,MODERATE
REQ00606,AMB0125,6,2.33,AMB0123,5,2.1,0.337,MODERATE
REQ00607,AMB0066,2,0.73,AMB0066,2,0.7,0.183,NORMAL
REQ00608,AMB0115,5,2.06,AMB0115,5,2.1,0.405,NORMAL
REQ00609,AMB0057,12,4.03,AMB0033,6,1.8,0.26,MODERATE
REQ00610,AMB0042,3,1.05,AMB0042,3,1.1,0.245,HEAVY
REQ00611,AMB0011,10,3.18,AMB0011,9,3.2,0.461,MODERATE
REQ00612,AMB0039,7,1.96,AMB0039,7,2,0.375,MODERATE
REQ00613,AMB0118,9,3.31,AMB0120,9,5.1,0.597,MODERATE
REQ00614,AMB0024,5,2.02,AMB0023,4,1.7,0.437,NORMAL
REQ00615,AMB0075,5,1.35,AMB0074,4,1.3,0.132,NORMAL
REQ00616,AMB0069,5,2.04,AMB0091,5,2.2,0.592,NORMAL
REQ00617,AMB0050,4,1.62,AMB0049,3,1.4,0.329,MODERATE
REQ00618,AMB0067,5,1.37,AMB0068,5,1.4,0.274,MODERATE
REQ00619,AMB0033,6,1.55,AMB0036,5,1.4,0.224,NORMAL
REQ00620,AMB0087,8,2.68,AMB0084,8,2.8,0.405,NORMAL
REQ00621,AMB0112,2,0.69,AMB0112,2,0.7,0.141,NORMAL
REQ00622,AMB0131,6,1.86,AMB0131,6,1.9,0.192,NORMAL
REQ00623,AMB0046,4,2.24,AMB0046,4,2.2,0.251,NORMAL
REQ00624,AMB0106,3,0.98,AMB0108,2,0.9,0.231,MODERATE
REQ00625,AMB0003,5,1.84,AMB0003,5,1.8,0.31,HEAVY
REQ00626,AMB0078,8,2.28,AMB0080,8,2.4,0.335,NORMAL
REQ00627,AMB0009,2,1.03,AMB0009,2,1,0.222,NORMAL
REQ00628,AMB0098,6,2.22,AMB0099,6,2,0.454,NORMAL
REQ00629,AMB0049,2,0.35,AMB0049,1,0.4,0.168,NORMAL
REQ00630,AMB0054,6,1.63,AMB0076,3,0.9,0.277,NORMAL
REQ00631,AMB0037,10,3.5,AMB0021,8,3.2,0.693,HEAVY
REQ00632,AMB0040,14,7.01,AMB0043,6,3.5,0.49,NORMAL
REQ00633,AMB0057,15,4.77,AMB0035,9,2.7,0.46,MODERATE
REQ00634,AMB0015,14,5.18,AMB0003,9,3.5,0.604,HEAVY
REQ00635,AMB0048,3,1.14,AMB0049,2,1,0.238,NORMAL
REQ00636,AMB0128,10,3.17,AMB0128,10,3.2,0.585,NORMAL
REQ00637,AMB0039,8,2.29,AMB0036,7,2.7,0.523,HEAVY
REQ00638,AMB0039,6,1.79,AMB0039,6,1.8,0.348,NORMAL
REQ00639,AMB0094,6,2,AMB0092,3,1.2,0.259,NORMAL
REQ00640,AMB0032,4,1.36,AMB0031,4,1.2,0.339,NORMAL
REQ00641,AMB0076,4,1.2,AMB0054,3,0.9,0.26,MODERATE
REQ00642,AMB0076,4,1.03,AMB0076,4,1,0.265,MODERATE
REQ00643,AMB0104,8,3.06,AMB0104,8,3.1,0.527,HEAVY
REQ00644,AMB0022,8,2.65,AMB0020,7,2.3,0.463,NORMAL
REQ00645,AMB0061,7,2.09,AMB0069,4,1.4,0.357,NORMAL
REQ00646,AMB0131,12,4.54,AMB0131,12,4.5,0.413,NORMAL
REQ00647,AMB0006,6,2.72,AMB0007,6,2.5,0.373,NORMAL
REQ00648,AMB0131,11,4.07,AMB0131,11,4.1,0.418,NORMAL
REQ00649,AMB0066,7,2.23,AMB0064,7,2.3,0.552,HEAVY
REQ00650,AMB0034,4,1.13,AMB0036,4,1.1,0.278,NORMAL
REQ00651,AMB0033,6,1.87,AMB0033,6,1.9,0.27,NORMAL
REQ00652,AMB0114,8,2.88,AMB0113,7,2.8,0.506,NORMAL
REQ00653,AMB0015,2,0.86,AMB0014,1,0.6,0.141,NORMAL
REQ00654,AMB0110,8,3.16,AMB0112,7,2.9,0.504,NORMAL
REQ00655,AMB0127,5,1.36,AMB0127,5,1.4,0.237,NORMAL
REQ00656,AMB0071,6,1.61,AMB0071,6,1.6,0.346,NORMAL
REQ00657,AMB0074,3,1.37,AMB0074,3,1.4,0.287,NORMAL
REQ00658,AMB0048,26,9.76,AMB0079,12,4.1,0.456,NORMAL
REQ00659,AMB0066,4,1.25,AMB0065,3,1.2,0.288,MODERATE
REQ00660,AMB0120,10,2.58,AMB0120,10,2.6,0.288,MODERATE
REQ00661,AMB0026,11,3.18,AMB0066,11,3.7,0.76,NORMAL
REQ00662,AMB0055,2,0.45,AMB0055,1,0.5,0.16,NORMAL
REQ00663,AMB0024,5,1.32,AMB0024,5,1.3,0.377,MODERATE
REQ00664,AMB0038,7,2.62,AMB0037,6,2.2,0.642,HEAVY
REQ00665,AMB0119,7,1.7,AMB0117,6,1.5,0.22,NORMAL
REQ00666,AMB0046,31,17.75,AMB0041,12,7.8,0.349,NORMAL
REQ00667,AMB0102,7,2.74,AMB0102,7,2.7,0.513,NORMAL
REQ00668,AMB0042,7,2.31,AMB0042,7,2.3,0.349,MODERATE
REQ00669,AMB0050,5,1.49,AMB0050,5,1.5,0.306,MODERATE
REQ00670,AMB0001,5,1.49,AMB0001,5,1.5,0.254,NORMAL
REQ00671,AMB0047,12,4.16,AMB0046,11,3.9,0.328,NORMAL
REQ00672,AMB0024,3,0.94,AMB0023,1,0.7,0.207,NORMAL
REQ00673,AMB0011,5,1.52,AMB0011,5,1.5,0.225,MODERATE
REQ00674,AMB0055,3,1.31,AMB0055,3,1.3,0.273,MODERATE
REQ00675,AMB0019,6,1.65,AMB0018,5,1.6,0.546,MODERATE
REQ00676,AMB0016,18,5.49,AMB0015,6,2.5,0.444,HEAVY
REQ00677,AMB0104,6,2.54,AMB0104,6,2.5,0.476,NORMAL
REQ00678,AMB0053,2,0.37,AMB0053,1,0.4,0.16,NORMAL
REQ00679,AMB0068,16,6.18,AMB0064,11,3.9,0.63,NORMAL
REQ00680,AMB0063,5,1.57,AMB0066,5,1.3,0.263,MODERATE
REQ00681,AMB0030,4,1.38,AMB0031,3,0.9,0.284,MODERATE
REQ00682,AMB0074,4,1.64,AMB0074,4,1.6,0.317,HEAVY
REQ00683,AMB0016,6,2.43,AMB0016,6,2.4,0.43,MODERATE
REQ00684,AMB0018,2,0.58,AMB0018,2,0.6,0.201,NORMAL
REQ00685,AMB0066,11,3.17,AMB0064,10,3.2,0.626,MODERATE
REQ00686,AMB0039,7,1.9,AMB0039,6,1.9,0.469,NORMAL
REQ00687,AMB0075,17,7.17,AMB0088,9,3.5,0.313,NORMAL
REQ00688,AMB0046,3,1.23,AMB0046,3,1.2,0.154,NORMAL
REQ00689,AMB0092,7,2.35,AMB0092,7,2.4,0.379,MODERATE
REQ00690,AMB0069,4,1.52,AMB0069,4,1.5,0.474,NORMAL
REQ00691,AMB0085,8,2.1,AMB0084,7,1.9,0.15,NORMAL
REQ00692,AMB0125,8,3.7,AMB0123,7,3.4,0.517,NORMAL
REQ00693,AMB0127,6,1.66,AMB0128,5,1.6,0.257,NORMAL
REQ00694,AMB0029,2,0.25,AMB0027,1,0.2,0.112,HEAVY
REQ00695,AMB0004,22,10.21,AMB0015,13,5.8,0.556,NORMAL
REQ00696,AMB0043,2,1.01,AMB0043,2,1,0.153,NORMAL
REQ00697,AMB0081,29,17.57,AMB0083,5,2.2,0.283,NORMAL
REQ00698,AMB0015,5,2.52,AMB0014,4,2.2,0.373,NORMAL
