emergency_id,emergency_type,selected_hospital_id,selected_hospital_name,candidate_count,selected_distance_km,selected_eta_min,icu_available,general_available
REQ00710,Stroke,H006,"Institute of Child Health and Hospital for Children",18,2.8,5,20,12
REQ00711,Unconscious,H009,"MIOT International",30,0.9,2,8,26
REQ00712,Trauma,H022,"Government Hospital Tambaram",22,1.2,2,6,22
REQ00713,General Medical,H017,"Gleneagles HealthCity Chennai",30,2.1,4,25,26
REQ00714,Unconscious,H012,"Sundaram Medical Foundation",30,1.8,3,4,33
REQ00715,Unconscious,H011,"Madras Medical Mission",30,1.5,3,5,4
REQ00716,Cardiac,H006,"Institute of Child Health and Hospital for Children",18,1.6,3,20,12
REQ00717,Trauma,H014,"Vijaya Hospital",22,1.2,2,10,12
REQ00718,Accident,H009,"MIOT International",22,3.3,6,8,26
REQ00719,Stroke,H011,"Madras Medical Mission",18,2.3,4,5,4
REQ00720,Accident,H003,"Government Kilpauk Medical College Hospital",22,1.2,2,1,9
REQ00721,Unconscious,H008,"Fortis Malar Hospital",30,1,2,4,34
REQ00722,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,3.6,7,18,34
REQ00723,Accident,H007,"Apollo Hospitals Greams Road",22,1.5,3,4,24
REQ00724,Trauma,H011,"Madras Medical Mission",22,4.8,9,5,4
REQ00725,General Medical,H012,"Sundaram Medical Foundation",30,1.5,3,4,33
REQ00726,Other,H022,"Government Hospital Tambaram",30,2.1,4,6,22
REQ00727,General Medical,H021,"Hindu Mission Hospital",30,1.5,3,16,6
REQ00728,Accident,H027,"MGM Healthcare",22,1,2,5,16
REQ00729,Trauma,H021,"Hindu Mission Hospital",22,1.5,3,16,6
REQ00730,Breathing,H012,"Sundaram Medical Foundation",30,0.3,2,4,33
REQ00731,Breathing,H002,"Government Stanley Medical College Hospital",30,2.3,4,7,39
REQ00732,Trauma,H014,"Vijaya Hospital",22,1.5,3,10,12
REQ00733,Stroke,H001,"Rajiv Gandhi Government General Hospital",18,1.5,3,6,32
REQ00734,Trauma,H011,"Madras Medical Mission",22,10.1,19,5,4
REQ00735,Stroke,H011,"Madras Medical Mission",18,1.1,2,5,4
REQ00736,Burn,H018,"Chettinad Hospital and Research Institute",30,2.7,5,4,14
REQ00737,Cardiac,H016,"Apollo Speciality Hospital OMR",18,3.4,6,19,2
REQ00738,Stroke,H024,"Billroth Hospitals",18,1.1,2,4,32
REQ00739,Breathing,H029,"Adyar Cancer Institute",30,2.1,4,2,46
REQ00740,Other,H017,"Gleneagles HealthCity Chennai",30,4,8,25,26
REQ00741,General Medical,H013,"SIMS Hospital",30,0.3,2,5,3
REQ00742,Accident,H028,"Kauvery Hospital Alwarpet",22,2.7,5,1,34
REQ00743,Accident,H018,"Chettinad Hospital and Research Institute",22,2,4,4,14
REQ00744,Breathing,H009,"MIOT International",30,0.8,2,8,26
REQ00745,Accident,H023,"ESIC Medical College and Hospital",22,1.1,2,5,32
REQ00746,Breathing,H001,"Rajiv Gandhi Government General Hospital",30,1.9,3,6,32
REQ00747,Breathing,H012,"Sundaram Medical Foundation",30,0.5,2,4,33
REQ00748,Cardiac,H005,"Government Omandurar Medical College Hospital",18,1.3,2,19,5
REQ00749,Breathing,H005,"Government Omandurar Medical College Hospital",30,0.9,2,19,5
REQ00750,Stroke,H007,"Apollo Hospitals Greams Road",18,0.6,2,4,24
REQ00751,Accident,H014,"Vijaya Hospital",22,0.2,2,10,12
REQ00752,Accident,H029,"Adyar Cancer Institute",22,2.5,5,2,46
REQ00753,Unconscious,H007,"Apollo Hospitals Greams Road",30,1.1,2,4,24
REQ00754,Unconscious,H019,"Dr. Kamakshi Memorial Hospital",30,1.9,3,18,34
REQ00755,Other,H019,"Dr. Kamakshi Memorial Hospital",30,2.2,4,18,34
REQ00756,Accident,H011,"Madras Medical Mission",22,0.8,2,5,4
REQ00757,Unconscious,H006,"Institute of Child Health and Hospital for Children",30,0.3,2,20,12
REQ00758,Breathing,H016,"Apollo Speciality Hospital OMR",30,2.4,4,19,2
REQ00759,Cardiac,H006,"Institute of Child Health and Hospital for Children",18,1.8,3,20,12
REQ00760,Stroke,H024,"Billroth Hospitals",18,1,2,4,32
REQ00761,Cardiac,H016,"Apollo Speciality Hospital OMR",18,2.7,5,19,2
REQ00762,Accident,H009,"MIOT International",22,2.1,4,8,26
REQ00763,Cardiac,H016,"Apollo Speciality Hospital OMR",18,0.6,2,19,2
REQ00764,Breathing,H012,"Sundaram Medical Foundation",30,5,9,4,33
REQ00765,Cardiac,H024,"Billroth Hospitals",18,0.5,2,4,32
REQ00766,Accident,H007,"Apollo Hospitals Greams Road",22,0.8,2,4,24
REQ00767,Breathing,H025,"Apollo Hospitals Tondiarpet",30,5.4,10,9,9
REQ00768,Burn,H013,"SIMS Hospital",30,0.8,2,5,3
REQ00769,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,3.3,6,8,11
REQ00770,Other,H012,"Sundaram Medical Foundation",30,6.6,12,4,33
REQ00771,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,4.9,9,18,34
REQ00772,Accident,H025,"Apollo Hospitals Tondiarpet",22,8.5,16,9,9
REQ00773,Accident,H028,"Kauvery Hospital Alwarpet",22,0.3,2,1,34
REQ00774,Unconscious,H004,"Government Royapettah Hospital",30,1.2,2,13,11
REQ00775,General Medical,H011,"Madras Medical Mission",30,10.4,19,5,4
REQ00776,Unconscious,H001,"Rajiv Gandhi Government General Hospital",30,0.9,2,6,32
REQ00777,General Medical,H002,"Government Stanley Medical College Hospital",30,1.2,2,7,39
REQ00778,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,5,9,18,34
REQ00779,General Medical,H030,"Government Hospital of Thoracic Medicine",30,1.8,3,8,23
REQ00780,Trauma,H018,"Chettinad Hospital and Research Institute",22,2,4,4,14
REQ00781,Accident,H018,"Chettinad Hospital and Research Institute",22,1.6,3,4,14
REQ00782,General Medical,H002,"Government Stanley Medical College Hospital",30,1.3,2,7,39
REQ00783,Accident,H008,"Fortis Malar Hospital",22,1,2,4,34
REQ00784,Cardiac,H012,"Sundaram Medical Foundation",18,0.8,2,4,33
REQ00785,Cardiac,H013,"SIMS Hospital",18,0.9,2,5,3
REQ00786,Cardiac,H011,"Madras Medical Mission",18,12.3,23,5,4
REQ00787,Breathing,H022,"Government Hospital Tambaram",30,0.9,2,6,22
REQ00788,Stroke,H005,"Government Omandurar Medical College Hospital",18,4.2,8,19,5
REQ00789,Trauma,H025,"Apollo Hospitals Tondiarpet",22,9.1,17,9,9
REQ00790,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,6.3,12,8,11
REQ00791,Breathing,H009,"MIOT International",30,1.3,2,8,26
REQ00792,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,2.2,4,18,34
REQ00793,Trauma,H007,"Apollo Hospitals Greams Road",22,2.2,4,4,24
REQ00794,Cardiac,H012,"Sundaram Medical Foundation",18,7.6,14,4,33
REQ00795,Accident,H028,"Kauvery Hospital Alwarpet",22,1.3,3,1,34
REQ00796,Burn,H026,"CSI Rainy Multispeciality Hospital",30,1.2,2,8,11
REQ00797,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,12.2,23,8,11
REQ00798,Accident,H026,"CSI Rainy Multispeciality Hospital",22,0.2,2,8,11
REQ00799,General Medical,H019,"Dr. Kamakshi Memorial Hospital",30,1.3,3,18,34
REQ00800,Breathing,H012,"Sundaram Medical Foundation",30,2.1,4,4,33
REQ00801,Other,H025,"Apollo Hospitals Tondiarpet",30,1.8,3,9,9
REQ00802,Trauma,H008,"Fortis Malar Hospital",22,5.3,10,4,34
REQ00803,General Medical,H014,"Vijaya Hospital",30,1.9,3,10,12
REQ00804,Accident,H011,"Madras Medical Mission",22,7.1,13,5,4
REQ00805,Accident,H025,"Apollo Hospitals Tondiarpet",22,2.1,4,9,9
REQ00806,Trauma,H007,"Apollo Hospitals Greams Road",22,2.1,4,4,24
REQ00807,Breathing,H025,"Apollo Hospitals Tondiarpet",30,1.7,3,9,9
REQ00808,Breathing,H013,"SIMS Hospital",30,1.2,2,5,3
REQ00809,Trauma,H007,"Apollo Hospitals Greams Road",22,0.6,2,4,24
REQ00810,Accident,H023,"ESIC Medical College and Hospital",22,1.4,3,5,32
REQ00811,Other,H002,"Government Stanley Medical College Hospital",30,1.6,3,7,39
REQ00812,Stroke,H002,"Government Stanley Medical College Hospital",18,0.7,2,7,39
REQ00813,General Medical,H012,"Sundaram Medical Foundation",30,1.1,2,4,33
REQ00814,Accident,H011,"Madras Medical Mission",22,1.3,2,5,4
REQ00815,Cardiac,H011,"Madras Medical Mission",18,8.6,16,5,4
REQ00816,Accident,H008,"Fortis Malar Hospital",22,2.4,4,4,34
REQ00817,Cardiac,H007,"Apollo Hospitals Greams Road",18,2.1,4,4,24
REQ00818,Breathing,H011,"Madras Medical Mission",30,1.8,3,5,4
REQ00819,Unconscious,H002,"Government Stanley Medical College Hospital",30,2.5,5,7,39
REQ00820,Cardiac,H009,"MIOT International",18,4.1,8,8,26
REQ00821,Other,H009,"MIOT International",30,1.7,3,8,26
REQ00822,Stroke,H009,"MIOT International",18,1.5,3,8,26
REQ00823,Breathing,H017,"Gleneagles HealthCity Chennai",30,0.3,2,25,26
REQ00824,Accident,H029,"Adyar Cancer Institute",22,1.5,3,2,46
REQ00825,Burn,H011,"Madras Medical Mission",30,3.2,6,5,4
REQ00826,Cardiac,H012,"Sundaram Medical Foundation",18,0.7,2,4,33
REQ00827,General Medical,H004,"Government Royapettah Hospital",30,0.8,2,13,11
REQ00828,Trauma,H009,"MIOT International",22,2.7,5,8,26
REQ00829,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,3.1,6,18,34
REQ00830,Accident,H022,"Government Hospital Tambaram",22,2.1,4,6,22
REQ00831,Trauma,H021,"Hindu Mission Hospital",22,2,4,16,6
REQ00832,Burn,H010,"Sri Ramachandra Medical Centre",30,1.4,3,1,10
REQ00833,Accident,H026,"CSI Rainy Multispeciality Hospital",22,1.5,3,8,11
REQ00834,Unconscious,H028,"Kauvery Hospital Alwarpet",30,1.2,2,1,34
REQ00835,General Medical,H001,"Rajiv Gandhi Government General Hospital",30,0.8,2,6,32
REQ00836,Unconscious,H004,"Government Royapettah Hospital",30,0.7,2,13,11
REQ00837,Trauma,H014,"Vijaya Hospital",22,1.1,2,10,12
REQ00838,Unconscious,H016,"Apollo Speciality Hospital OMR",30,2.2,4,19,2
REQ00839,Cardiac,H009,"MIOT International",18,4.7,9,8,26
REQ00840,Breathing,H001,"Rajiv Gandhi Government General Hospital",30,1.1,2,6,32
REQ00841,Stroke,H013,"SIMS Hospital",18,2.1,4,5,3
REQ00842,Accident,H027,"MGM Healthcare",22,3.6,7,5,16
REQ00843,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,7.8,15,8,11
REQ00844,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,5.6,10,18,34
REQ00845,Cardiac,H001,"Rajiv Gandhi Government General Hospital",18,1.2,2,6,32
REQ00846,Trauma,H007,"Apollo Hospitals Greams Road",22,1.1,2,4,24
REQ00847,Accident,H011,"Madras Medical Mission",22,2.2,4,5,4
REQ00848,Unconscious,H020,"Prashanth Super Speciality Hospital",30,1.6,3,2,14
REQ00849,Accident,H007,"Apollo Hospitals Greams Road",22,0.5,2,4,24
REQ00850,Accident,H025,"Apollo Hospitals Tondiarpet",22,7.2,13,9,9
REQ00851,Accident,H011,"Madras Medical Mission",22,6.3,12,5,4
REQ00852,Breathing,H021,"Hindu Mission Hospital",30,2.1,4,16,6
REQ00853,Trauma,H019,"Dr. Kamakshi Memorial Hospital",22,2.2,4,18,34
REQ00854,Unconscious,H007,"Apollo Hospitals Greams Road",30,1.5,3,4,24
REQ00855,Accident,H025,"Apollo Hospitals Tondiarpet",22,0.4,2,9,9
REQ00856,General Medical,H002,"Government Stanley Medical College Hospital",30,0.8,2,7,39
REQ00857,Cardiac,H007,"Apollo Hospitals Greams Road",18,1,2,4,24
REQ00858,Breathing,H021,"Hindu Mission Hospital",30,0.5,2,16,6
REQ00859,Stroke,H023,"ESIC Medical College and Hospital",18,1.3,3,5,32
REQ00860,Breathing,H001,"Rajiv Gandhi Government General Hospital",30,1.3,2,6,32
REQ00861,Stroke,H011,"Madras Medical Mission",18,5.5,10,5,4
REQ00862,Cardiac,H002,"Government Stanley Medical College Hospital",18,1.5,3,7,39
REQ00863,General Medical,H027,"MGM Healthcare",30,1.2,2,5,16
REQ00864,General Medical,H025,"Apollo Hospitals Tondiarpet",30,0.7,2,9,9
REQ00865,Trauma,H006,"Institute of Child Health and Hospital for Children",22,0.3,2,20,12
REQ00866,Cardiac,H012,"Sundaram Medical Foundation",18,8.6,16,4,33
REQ00867,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,16.3,30,18,34
REQ00868,Unconscious,H025,"Apollo Hospitals Tondiarpet",30,10.6,20,9,9
REQ00869,Cardiac,H007,"Apollo Hospitals Greams Road",18,2.1,4,4,24
REQ00870,General Medical,H002,"Government Stanley Medical College Hospital",30,0.7,2,7,39
REQ00871,Trauma,H028,"Kauvery Hospital Alwarpet",22,1.1,2,1,34
REQ00872,Cardiac,H006,"Institute of Child Health and Hospital for Children",18,2.2,4,20,12
REQ00873,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,20.3,38,18,34
REQ00874,Unconscious,H023,"ESIC Medical College and Hospital",30,2.9,5,5,32
REQ00875,Trauma,H027,"MGM Healthcare",22,1.3,2,5,16
REQ00876,Stroke,H023,"ESIC Medical College and Hospital",18,2,4,5,32
REQ00877,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,3.7,7,18,34
REQ00878,Cardiac,H011,"Madras Medical Mission",18,9.3,17,5,4
REQ00879,Accident,H030,"Government Hospital of Thoracic Medicine",22,0.3,2,8,23
REQ00880,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,2.1,4,18,34
REQ00881,Accident,H009,"MIOT International",22,0.7,2,8,26
REQ00882,Accident,H009,"MIOT International",22,4.2,8,8,26
REQ00883,Trauma,H025,"Apollo Hospitals Tondiarpet",22,1.6,3,9,9
REQ00884,General Medical,H001,"Rajiv Gandhi Government General Hospital",30,2.1,4,6,32
REQ00885,Accident,H014,"Vijaya Hospital",22,1.7,3,10,12
REQ00886,General Medical,H007,"Apollo Hospitals Greams Road",30,1,2,4,24
REQ00887,Unconscious,H004,"Government Royapettah Hospital",30,1.9,4,13,11
REQ00888,Accident,H027,"MGM Healthcare",22,1.2,2,5,16
REQ00889,General Medical,H010,"Sri Ramachandra Medical Centre",30,1.3,2,1,10
REQ00890,Cardiac,H016,"Apollo Speciality Hospital OMR",18,2.2,4,19,2
REQ00891,Accident,H025,"Apollo Hospitals Tondiarpet",22,1.3,2,9,9
REQ00892,Unconscious,H012,"Sundaram Medical Foundation",30,0.8,2,4,33
REQ00893,Stroke,H011,"Madras Medical Mission",18,1.8,3,5,4
REQ00894,Breathing,H017,"Gleneagles HealthCity Chennai",30,5.6,10,25,26
REQ00895,Trauma,H009,"MIOT International",22,3,6,8,26
REQ00896,Cardiac,H029,"Adyar Cancer Institute",18,1.9,4,2,46
REQ00897,Cardiac,H005,"Government Omandurar Medical College Hospital",18,2,4,19,5
REQ00898,Breathing,H012,"Sundaram Medical Foundation",30,2.6,5,4,33
REQ00899,Cardiac,H023,"ESIC Medical College and Hospital",18,1.1,2,5,32
REQ00900,Stroke,H007,"Apollo Hospitals Greams Road",18,1.7,3,4,24
REQ00901,General Medical,H005,"Government Omandurar Medical College Hospital",30,0.6,2,19,5
REQ00902,Accident,H027,"MGM Healthcare",22,0.1,2,5,16
REQ00903,Accident,H026,"CSI Rainy Multispeciality Hospital",22,2.1,4,8,11
REQ00904,Cardiac,H012,"Sundaram Medical Foundation",18,5.8,11,4,33
REQ00905,Cardiac,H011,"Madras Medical Mission",18,7,13,5,4
REQ00906,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,1.9,4,18,34
REQ00907,General Medical,H010,"Sri Ramachandra Medical Centre",30,4,7,1,10
REQ00908,Accident,H023,"ESIC Medical College and Hospital",22,1.2,2,5,32
REQ00909,Breathing,H026,"CSI Rainy Multispeciality Hospital",30,1.7,3,8,11
REQ00910,Unconscious,H011,"Madras Medical Mission",30,2.7,5,5,4
REQ00911,Accident,H021,"Hindu Mission Hospital",22,1.3,2,16,6
REQ00912,Accident,H001,"Rajiv Gandhi Government General Hospital",22,0.8,2,6,32
REQ00913,Breathing,H020,"Prashanth Super Speciality Hospital",30,2.2,4,2,14
REQ00914,Cardiac,H011,"Madras Medical Mission",18,9,17,5,4
REQ00915,Accident,H009,"MIOT International",22,10.6,20,8,26
REQ00916,Stroke,H012,"Sundaram Medical Foundation",18,1.1,2,4,33
REQ00917,Trauma,H001,"Rajiv Gandhi Government General Hospital",22,1.3,2,6,32
REQ00918,Stroke,H006,"Institute of Child Health and Hospital for Children",18,0.1,2,20,12
REQ00919,Trauma,H006,"Institute of Child Health and Hospital for Children",22,3.3,6,20,12
REQ00920,Burn,H012,"Sundaram Medical Foundation",30,2.2,4,4,33
REQ00921,Cardiac,H016,"Apollo Speciality Hospital OMR",18,1.3,2,19,2
REQ00922,Accident,H020,"Prashanth Super Speciality Hospital",22,1.2,2,2,14
REQ00923,Trauma,H030,"Government Hospital of Thoracic Medicine",22,1.3,2,8,23
REQ00924,Unconscious,H024,"Billroth Hospitals",30,2.1,4,4,32
REQ00925,Unconscious,H006,"Institute of Child Health and Hospital for Children",30,1,2,20,12
REQ00926,Stroke,H012,"Sundaram Medical Foundation",18,1.6,3,4,33
REQ00927,Unconscious,H002,"Government Stanley Medical College Hospital",30,1.2,2,7,39
REQ00928,Accident,H011,"Madras Medical Mission",22,10.8,20,5,4
REQ00929,Breathing,H030,"Government Hospital of Thoracic Medicine",30,0.5,2,8,23
REQ00930,Unconscious,H002,"Government Stanley Medical College Hospital",30,3.7,7,7,39
REQ00931,Breathing,H030,"Government Hospital of Thoracic Medicine",30,2.8,5,8,23
REQ00932,Stroke,H021,"Hindu Mission Hospital",18,1.4,3,16,6
REQ00933,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,10.9,20,8,11
REQ00934,Unconscious,H023,"ESIC Medical College and Hospital",30,3.2,6,5,32
REQ00935,Accident,H026,"CSI Rainy Multispeciality Hospital",22,1.4,3,8,11
REQ00936,General Medical,H004,"Government Royapettah Hospital",30,0.9,2,13,11
REQ00937,Accident,H009,"MIOT International",22,3.6,7,8,26
REQ00938,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,15.7,29,18,34
REQ00939,Accident,H007,"Apollo Hospitals Greams Road",22,0.9,2,4,24
REQ00940,Trauma,H026,"CSI Rainy Multispeciality Hospital",22,2.3,4,8,11
REQ00941,Accident,H029,"Adyar Cancer Institute",22,1.7,3,2,46
REQ00942,Stroke,H012,"Sundaram Medical Foundation",18,2,4,4,33
REQ00943,General Medical,H004,"Government Royapettah Hospital",30,1.2,2,13,11
REQ00944,Trauma,H006,"Institute of Child Health and Hospital for Children",22,1.8,3,20,12
REQ00945,Trauma,H008,"Fortis Malar Hospital",22,2.4,5,4,34
REQ00946,Cardiac,H007,"Apollo Hospitals Greams Road",18,1.3,2,4,24
REQ00947,Breathing,H013,"SIMS Hospital",30,0.9,2,5,3
REQ00948,Cardiac,H016,"Apollo Speciality Hospital OMR",18,3.7,7,19,2
REQ00949,Trauma,H005,"Government Omandurar Medical College Hospital",22,0.9,2,19,5
REQ00950,Accident,H018,"Chettinad Hospital and Research Institute",22,2.6,5,4,14
REQ00951,Accident,H025,"Apollo Hospitals Tondiarpet",22,3.8,7,9,9
REQ00952,Breathing,H011,"Madras Medical Mission",30,2.1,4,5,4
REQ00953,Burn,H001,"Rajiv Gandhi Government General Hospital",30,1,2,6,32
REQ00954,Trauma,H014,"Vijaya Hospital",22,2.3,4,10,12
REQ00955,General Medical,H010,"Sri Ramachandra Medical Centre",30,4.4,8,1,10
REQ00956,Breathing,H025,"Apollo Hospitals Tondiarpet",30,6.9,13,9,9
REQ00957,Breathing,H008,"Fortis Malar Hospital",30,1.4,3,4,34
REQ00958,Accident,H005,"Government Omandurar Medical College Hospital",22,1.8,3,19,5
REQ00959,Accident,H018,"Chettinad Hospital and Research Institute",22,2,4,4,14
REQ00960,Trauma,H001,"Rajiv Gandhi Government General Hospital",22,1.8,3,6,32
REQ00961,General Medical,H011,"Madras Medical Mission",30,8.5,16,5,4
REQ00962,Cardiac,H009,"MIOT International",18,1.1,2,8,26
REQ00963,Trauma,H028,"Kauvery Hospital Alwarpet",22,0.2,2,1,34
REQ00964,Breathing,H012,"Sundaram Medical Foundation",30,9.1,17,4,33
REQ00965,Unconscious,H021,"Hindu Mission Hospital",30,3.3,6,16,6
REQ00966,Trauma,H005,"Government Omandurar Medical College Hospital",22,2.5,5,19,5
REQ00967,Accident,H007,"Apollo Hospitals Greams Road",22,2.5,5,4,24
REQ00968,Accident,H011,"Madras Medical Mission",22,6.5,12,5,4
REQ00969,Stroke,H029,"Adyar Cancer Institute",18,2.2,4,2,46
REQ00970,Breathing,H020,"Prashanth Super Speciality Hospital",30,0.9,2,2,14
REQ00971,Stroke,H013,"SIMS Hospital",18,2.7,5,5,3
REQ00972,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,6,11,18,34
REQ00973,Accident,H019,"Dr. Kamakshi Memorial Hospital",22,7.2,14,18,34
REQ00974,Accident,H023,"ESIC Medical College and Hospital",22,1.6,3,5,32
REQ00975,General Medical,H023,"ESIC Medical College and Hospital",30,1,2,5,32
REQ00976,Trauma,H009,"MIOT International",22,2.6,5,8,26
REQ00977,Accident,H011,"Madras Medical Mission",22,0.8,2,5,4
REQ00978,Stroke,H009,"MIOT International",18,9.4,18,8,26
REQ00979,Accident,H001,"Rajiv Gandhi Government General Hospital",22,0.7,2,6,32
REQ00980,Breathing,H030,"Government Hospital of Thoracic Medicine",30,1.1,2,8,23
REQ00981,Accident,H001,"Rajiv Gandhi Government General Hospital",22,0.3,2,6,32
REQ00982,Accident,H023,"ESIC Medical College and Hospital",22,1.2,2,5,32
REQ00983,Burn,H027,"MGM Healthcare",30,0.6,2,5,16
REQ00984,Accident,H018,"Chettinad Hospital and Research Institute",22,1.7,3,4,14
REQ00985,Burn,H017,"Gleneagles HealthCity Chennai",30,1.7,3,25,26
REQ00986,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,14.9,28,18,34
REQ00987,Unconscious,H012,"Sundaram Medical Foundation",30,1.1,2,4,33
REQ00988,Accident,H030,"Government Hospital of Thoracic Medicine",22,4.2,8,8,23
REQ00989,Cardiac,H002,"Government Stanley Medical College Hospital",18,1.6,3,7,39
REQ00990,Accident,H029,"Adyar Cancer Institute",22,1.5,3,2,46
REQ00991,General Medical,H025,"Apollo Hospitals Tondiarpet",30,10.9,20,9,9
REQ00992,Stroke,H011,"Madras Medical Mission",18,10.9,20,5,4
REQ00993,Unconscious,H009,"MIOT International",30,2.3,4,8,26
REQ00994,Accident,H020,"Prashanth Super Speciality Hospital",22,3.9,7,2,14
REQ00995,Accident,H027,"MGM Healthcare",22,1.6,3,5,16
REQ00996,Stroke,H006,"Institute of Child Health and Hospital for Children",18,0.9,2,20,12
REQ00997,Unconscious,H017,"Gleneagles HealthCity Chennai",30,2.1,4,25,26
REQ00998,Trauma,H007,"Apollo Hospitals Greams Road",22,0.6,2,4,24
REQ00999,Cardiac,H023,"ESIC Medical College and Hospital",18,0.9,2,5,32
REQ01000,Unconscious,H016,"Apollo Speciality Hospital OMR",30,2.2,4,19,2
REQ01001,Trauma,H027,"MGM Healthcare",22,0.8,2,5,16
REQ01002,Breathing,H018,"Chettinad Hospital and Research Institute",30,1.7,3,4,14
REQ01003,Trauma,H003,"Government Kilpauk Medical College Hospital",22,0.9,2,1,9
REQ01004,Cardiac,H026,"CSI Rainy Multispeciality Hospital",18,2.6,5,8,11
REQ01005,Accident,H018,"Chettinad Hospital and Research Institute",22,0.3,2,4,14
REQ01006,Accident,H027,"MGM Healthcare",22,0.7,2,5,16
REQ01007,Trauma,H028,"Kauvery Hospital Alwarpet",22,1.4,3,1,34
REQ01008,Accident,H005,"Government Omandurar Medical College Hospital",22,0.8,2,19,5
REQ01009,Other,H025,"Apollo Hospitals Tondiarpet",30,9.9,19,9,9
REQ01010,Accident,H014,"Vijaya Hospital",22,1.3,2,10,12
REQ01011,Breathing,H017,"Gleneagles HealthCity Chennai",30,2.3,4,25,26
REQ01012,General Medical,H025,"Apollo Hospitals Tondiarpet",30,4.3,8,9,9
REQ01013,Trauma,H003,"Government Kilpauk Medical College Hospital",22,0.7,2,1,9
REQ01014,Accident,H018,"Chettinad Hospital and Research Institute",22,1.8,3,4,14
REQ01015,Breathing,H002,"Government Stanley Medical College Hospital",30,1.7,3,7,39
REQ01016,General Medical,H029,"Adyar Cancer Institute",30,2.2,4,2,46
REQ01017,Cardiac,H005,"Government Omandurar Medical College Hospital",18,2.1,4,19,5
REQ01018,General Medical,H017,"Gleneagles HealthCity Chennai",30,1.4,3,25,26
REQ01019,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,2.6,5,18,34
REQ01020,Trauma,H005,"Government Omandurar Medical College Hospital",22,1.7,3,19,5
REQ01021,Accident,H025,"Apollo Hospitals Tondiarpet",22,10.4,19,9,9
REQ01022,Trauma,H005,"Government Omandurar Medical College Hospital",22,2,4,19,5
REQ01023,Accident,H020,"Prashanth Super Speciality Hospital",22,3.2,6,2,14
REQ01024,General Medical,H028,"Kauvery Hospital Alwarpet",30,1.7,3,1,34
REQ01025,Trauma,H026,"CSI Rainy Multispeciality Hospital",22,0.8,2,8,11
REQ01026,Other,H016,"Apollo Speciality Hospital OMR",30,2.4,4,19,2
REQ01027,Cardiac,H029,"Adyar Cancer Institute",18,0.5,2,2,46
REQ01028,Unconscious,H017,"Gleneagles HealthCity Chennai",30,2.4,4,25,26
REQ01029,Accident,H025,"Apollo Hospitals Tondiarpet",22,1.2,2,9,9
REQ01030,Unconscious,H027,"MGM Healthcare",30,1,2,5,16
REQ01031,Trauma,H011,"Madras Medical Mission",22,6.4,12,5,4
REQ01032,Burn,H001,"Rajiv Gandhi Government General Hospital",30,0.9,2,6,32
REQ01033,Stroke,H011,"Madras Medical Mission",18,1.7,3,5,4
REQ01034,General Medical,H012,"Sundaram Medical Foundation",30,1.9,3,4,33
REQ01035,Accident,H027,"MGM Healthcare",22,0.9,2,5,16
REQ01036,Accident,H027,"MGM Healthcare",22,4.2,8,5,16
REQ01037,Accident,H022,"Government Hospital Tambaram",22,2.5,5,6,22
REQ01038,Stroke,H002,"Government Stanley Medical College Hospital",18,1.8,3,7,39
REQ01039,Trauma,H008,"Fortis Malar Hospital",22,4.1,8,4,34
REQ01040,Trauma,H006,"Institute of Child Health and Hospital for Children",22,1.2,2,20,12
REQ01041,Breathing,H010,"Sri Ramachandra Medical Centre",30,8.3,16,1,10
REQ01042,Unconscious,H020,"Prashanth Super Speciality Hospital",30,2.2,4,2,14
REQ01043,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,5.8,11,18,34
REQ01044,Stroke,H019,"Dr. Kamakshi Memorial Hospital",18,5,9,18,34
REQ01045,Cardiac,H019,"Dr. Kamakshi Memorial Hospital",18,1.4,3,18,34
REQ01046,Burn,H025,"Apollo Hospitals Tondiarpet",30,11.7,22,9,9
REQ01047,Burn,H020,"Prashanth Super Speciality Hospital",30,0.9,2,2,14
REQ01048,Burn,H017,"Gleneagles HealthCity Chennai",30,2.1,4,25,26
REQ01049,Breathing,H010,"Sri Ramachandra Medical Centre",30,1,2,1,10
REQ01050,Trauma,H001,"Rajiv Gandhi Government General Hospital",22,1.2,2,6,32
